,Progress,Duration..in.seconds.,IC.response.,Sex,Gender,Class,Major,Ethnicity,Course2,AMAS.1,AMAS.2,AMAS.3,AMAS.4,AMAS.5,AMAS.6,AMAS.7,AMAS.8,AMAS.9,MSES.1,MSES.2,MSES.3,S.CA.1,S.CA.2,S.CA.3,S.CA.4,S.CA.5,S.CA.6,S.LT.1,S.LT.2,S.LT.3,S.LT.4,S.LT.5,S.LT.6,S.LT.7,S.DA.1,S.DA.2,S.DA.3,S.DA.4,S.DA.5,S.DA.6,S.DA.7,S.IA.1,S.IA.2,S.IA.3,S.IA.4,S.IA.5,S.IA.6,S.IA.7,S.D.1,S.D.2,S.D.3,S.D.4,S.D.5,S.D.6,S.D.7,S.RE.1,S.RE.2,S.RE.3,S.RE.4,S.RE.5,S.RE.6,S.RE.7,S.IA.1.1,S.IA.2.1,S.IA.3.1,S.IA.4.1,S.IA.5.1,S.IA.6.1,S.IA.7.1,T.1,T.2,T.3,T.4,T.5,T.6,T.7,T.8,T.9,T.10,T.11,T.12,MS.1,MS.2,MS.3,MS.4,MS.5,MS.6,MS.7,MS.8,MS.9,MS.10,MS.11,MS.12,CR.1,CR.2,CR.3,CR.4,CR.5,CR.6,CR.7,CR.8,CR.9,CR.10,CR.11,CR.12,Semester
11,100,944,1,2,1,3,1,2,1,1,3,1,4,4,1,3,4,1,1,5,1,1,2,1,2,1,1,4,3,4,2,3,3,3,3,3,3,3,3,2,1,2,3,3,2,4,2,3,4,3,1,1,2,1,3,1,3,4,2,2,4,5,2,4,1,1,4,2,2,1,1,1,1,5,1,5,1,1,1,1,1,2,3,2,3,1,2,2,2,2,3,2,3,3,2,1,3,3,3,3,4,3,4,4,4,1
12,100,1021,1,2,1,4,1,1,15,3,5,1,5,2,2,2,5,2,2,5,5,2,2,3,1,4,3,5,4,3,3,3,4,3,3,4,4,4,3,2,4,3,2,3,5,5,1,2,5,5,5,4,5,3,5,5,4,4,4,4,3,2,1,2,1,2,1,2,2,1,1,1,1,5,1,3,1,1,1,1,1,1,1,2,3,1,2,1,3,2,2,3,2,3,3,3,2,2,2,2,4,3,4,3,4,1
13,100,340,1,1,2,2,3,1,10,1,2,5,2,3,4,2,4,3,4,2,4,5,2,4,1,2,2,4,2,4,2,4,1,1,5,5,5,2,3,4,3,2,4,2,4,2,3,2,5,3,4,5,5,4,4,4,3,4,4,3,4,3,4,2,4,4,2,3,4,4,4,3,2,4,4,2,2,2,2,2,2,3,2,3,1,1,1,2,1,1,3,3,3,3,3,1,1,1,1,1,2,4,4,4,4,1
14,100,1097,1,1,2,4,1,1,43,1,4,1,4,3,3,1,5,1,4,2,4,1,4,4,1,1,1,5,4,4,5,5,4,1,4,1,2,5,4,1,1,5,3,4,3,4,1,5,4,5,2,1,3,4,3,4,1,4,3,1,4,1,4,5,1,1,1,1,5,2,4,5,4,2,5,2,1,1,4,4,5,3,2,1,3,3,3,1,3,1,3,3,3,4,4,2,1,1,3,1,2,2,4,4,4,1
15,100,1349,1,2,1,1,1,1,17,1,2,1,2,3,3,2,4,2,4,3,5,4,3,3,3,3,4,5,3,5,4,5,5,2,5,4,3,4,4,5,3,5,5,4,2,5,4,4,4,5,4,3,4,4,4,3,4,4,3,4,3,3,3,3,4,3,3,2,4,2,3,2,2,3,3,3,3,3,3,3,3,1,2,2,1,3,2,2,3,2,1,3,1,1,1,1,1,1,2,1,1,1,2,4,4,1
16,100,1465,1,1,2,1,4,1,5,1,5,3,5,4,5,2,5,3,1,5,1,1,4,2,1,1,1,5,3,3,1,5,3,2,3,4,3,1,4,1,1,5,3,3,4,5,5,4,3,3,5,3,3,3,3,3,5,3,3,2,5,5,4,3,1,2,3,1,3,5,3,1,1,5,3,4,1,2,2,2,2,3,2,1,2,1,2,3,1,3,2,3,3,4,4,4,2,1,4,2,4,4,4,4,4,1
17,100,295,1,1,2,1,4,1,3,1,3,1,2,3,1,1,5,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,3,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,1
18,100,477,1,1,2,2,3,2,10,1,2,2,3,3,3,1,4,3,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,3,2,1,3,1,2,3,2,2,3,3,3,3,3,2,2,1,2,1,1,2,3,1,2,1
19,100,870,1,2,1,1,4,4,5,3,4,1,5,5,2,1,5,3,3,3,4,5,2,2,3,1,1,1,4,1,1,2,3,1,4,3,2,2,3,3,2,3,2,3,3,4,2,4,2,4,4,5,3,3,5,3,2,2,2,2,2,2,1,1,1,3,3,3,3,3,4,4,4,1,5,1,4,5,3,4,5,3,3,1,1,1,2,2,1,2,3,3,2,3,3,4,1,2,1,3,4,4,4,4,4,1
20,100,476,1,1,2,3,2,1,13,2,5,1,5,3,2,1,5,3,2,4,4,2,3,1,1,1,1,4,3,1,2,4,2,3,2,4,2,4,3,1,2,2,2,4,4,2,4,3,4,4,3,2,3,3,2,3,4,2,2,4,4,4,1,3,2,2,3,1,4,4,3,4,2,3,3,4,2,3,4,4,4,3,2,2,2,2,1,1,1,1,2,3,3,2,2,2,2,3,2,2,3,3,1,1,4,1
21,100,755,1,2,1,2,2,1,13,NA,2,1,3,2,1,1,4,1,3,3,4,3,4,2,1,1,3,3,3,4,4,5,4,1,4,4,4,4,5,1,1,4,3,5,3,4,2,4,2,5,2,3,5,2,5,2,3,4,3,1,1,2,2,3,3,2,3,3,3,2,2,2,2,3,2,2,2,1,2,2,2,1,1,2,3,1,2,1,2,2,1,3,3,4,2,2,3,3,3,3,4,3,4,4,4,1
22,100,1779,1,2,1,2,3,6,10,2,3,2,4,3,2,2,5,1,1,4,2,3,4,3,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,4,3,2,3,3,4,3,2,2,3,2,2,2,4,4,3,3,3,2,3,3,1,2,1,2,3,3,3,2,2,2,4,1,2,2,2,2,1,1,1,2,1,2,1,3,2,1,1,3,2,2,2,3,3,3,3,3,2,4,4,4,1
23,100,1132,1,2,1,4,1,1,43,1,3,1,2,2,2,1,2,1,4,3,5,2,1,1,1,1,2,4,2,3,2,4,2,2,4,4,4,3,5,3,2,3,2,3,4,4,2,3,4,3,2,1,3,2,3,1,1,2,1,2,2,2,4,4,2,1,3,2,4,3,3,4,2,3,2,4,2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,1,3,2,2,2,2,1,3,2,1,2,3,4,4,1
24,100,692,1,1,2,3,1,1,10,4,3,2,3,5,2,1,4,1,4,4,4,3,3,3,2,2,1,3,3,3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,4,4,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,4,2,4,1,2,2,2,2,3,2,1,3,3,2,3,1,2,3,3,2,3,2,2,1,1,3,3,3,3,4,4,4,1
25,100,240,1,1,2,1,3,1,10,1,2,2,1,1,2,1,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2,1,2,1,1,3,2,2,3,2,3,3,1,3,3,2,2,2,2,2,3,3,3,3,2,1
26,100,437,1,2,1,2,4,1,5,3,4,3,5,5,2,3,5,3,1,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,3,4,4,4,3,4,4,5,2,4,4,2,4,4,3,5,3,3,3,1,3,2,1,3,2,3,3,3,1,1,1,1,1,1,1,1,2,3,1,1,1
27,100,1025,1,1,2,2,1,1,43,2,4,3,3,4,2,1,4,1,4,3,4,1,2,2,1,2,2,4,3,3,3,4,3,2,3,3,2,3,4,1,2,2,3,4,4,3,3,2,5,5,3,3,1,2,4,1,1,4,2,3,3,3,3,4,2,1,3,4,3,4,4,4,5,2,4,3,2,4,4,4,4,3,1,1,2,3,2,3,2,2,2,2,1,4,3,2,2,3,2,3,3,4,4,4,4,1
28,100,458,1,2,1,3,1,1,44,1,3,3,4,5,2,2,4,1,2,4,2,1,3,4,1,1,1,4,3,4,3,4,2,1,3,2,2,3,4,1,2,2,3,3,2,3,4,2,2,3,3,2,2,3,3,2,3,3,3,2,4,3,4,3,2,3,3,2,2,4,4,2,3,3,4,3,3,4,3,3,4,2,3,2,2,1,2,2,3,2,1,3,3,4,3,3,2,3,3,3,4,4,4,4,4,1
29,100,2574,1,1,2,3,1,7,1,3,5,4,5,5,5,3,5,5,1,5,5,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,5,3,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,2,1,1,1,1,4,1,1,1,1,1,3,2,2,3,3,2,2,3,2,1,3,3,3,4,4,2,2,4,2,1,2,4,3,2,1
30,100,972,1,2,1,3,1,4,44,1,1,1,2,2,1,1,3,2,2,4,4,2,3,4,1,1,2,5,5,4,4,5,5,1,4,5,2,2,3,4,1,3,4,4,4,4,2,2,4,4,2,1,3,2,3,2,3,4,2,2,2,2,2,1,1,1,1,2,2,3,4,3,2,2,2,5,1,4,1,2,1,3,2,1,3,1,2,3,2,2,3,2,3,3,1,2,2,2,4,1,4,4,4,4,4,1
31,100,688,1,1,2,2,2,1,13,1,3,1,3,3,1,1,4,1,4,3,4,1,3,3,1,3,1,2,2,4,3,3,4,1,2,3,3,2,2,1,2,3,2,1,2,3,1,3,3,4,4,3,3,3,4,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,3,3,3,3,3,2,1,2,2,3,4,4,4,4,1
32,100,523,1,2,1,2,1,7,10,1,2,1,2,2,1,1,3,1,1,2,2,3,4,4,3,2,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,2,4,5,5,3,3,5,5,5,5,5,5,4,5,4,5,5,5,5,5,1,5,5,5,5,1,5,5,3,1,3,5,2,2,2,2,2,2,2,3,1,2,1,3,3,1,3,2,3,3,2,3,3,3,1,2,3,1,2,1,1,4,3,1
34,100,4908,1,1,2,1,2,6,13,1,3,1,3,4,4,1,5,1,4,2,2,5,4,2,4,3,4,2,3,3,4,4,4,1,3,3,3,2,3,1,3,5,4,3,4,4,2,3,3,5,5,3,2,5,4,3,5,5,3,3,3,5,2,4,2,3,2,2,4,3,5,4,4,2,3,3,1,1,1,1,3,3,2,2,3,2,2,3,2,2,3,2,1,3,3,4,1,1,3,1,3,4,4,4,4,1
35,100,3478,1,1,2,1,1,1,16,1,3,1,3,1,2,2,4,3,5,2,4,4,4,3,3,4,4,5,5,5,4,4,5,3,3,3,4,3,2,2,4,4,4,3,5,4,3,4,5,4,4,2,2,4,4,4,4,5,4,4,4,3,2,2,2,1,2,1,3,3,4,2,2,4,2,3,1,2,2,2,3,2,2,2,2,1,2,3,1,1,3,3,3,2,1,1,1,2,3,2,3,3,3,4,4,1
36,100,666,1,1,2,3,4,1,10,1,3,1,3,3,2,1,2,2,1,5,2,1,4,5,1,2,5,5,5,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,4,2,4,2,2,2,4,3,2,3,1,2,2,3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,1
37,100,3757,1,1,4,4,1,1,43,1,3,1,2,3,1,2,4,1,4,4,5,4,5,5,2,3,5,5,5,4,4,5,5,4,5,2,4,5,5,4,4,5,4,5,3,5,5,5,4,5,3,3,5,2,5,4,4,5,4,5,3,4,5,4,2,4,4,3,5,4,1,1,2,2,4,4,4,5,4,4,1,3,1,2,2,2,3,3,2,2,1,3,3,1,2,1,1,2,3,2,1,3,2,4,4,1
38,100,741,1,1,6,1,1,1,8,1,4,1,3,2,3,2,5,1,2,4,4,5,5,5,3,2,4,4,4,4,4,5,5,3,4,2,5,4,5,4,2,4,3,4,5,4,3,5,5,5,4,5,5,5,5,3,5,4,2,4,5,4,1,3,2,2,2,1,5,3,5,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,2,3,2,2,3,2,3,2,2,1,1,3,2,1,1,2,3,4,4,1
39,100,473,1,1,2,1,1,4,10,3,5,1,4,4,2,2,5,3,3,5,4,1,3,4,4,4,2,3,3,3,3,3,3,2,3,2,2,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3,2,NA,4,3,2,3,NA,3,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,3,1,2,1,2,1,1,2,1,3,1,2,2,2,2,2,2,1,3,3,NA,2,3,1
40,100,754,1,1,2,1,4,1,8,3,3,3,3,2,1,1,5,3,2,4,3,2,3,3,1,1,2,3,3,2,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,3,4,4,4,4,4,3,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,1,2,1,3,2,3,3,1,4,3,3,1,1,4,1,3,4,4,4,4,1
41,100,2594,1,2,1,1,1,1,15,1,2,1,1,2,1,1,3,1,5,1,4,2,3,2,1,1,3,5,3,3,4,5,3,1,3,3,2,4,4,1,3,3,4,4,4,3,3,3,5,4,4,4,4,3,5,5,4,4,5,3,3,5,3,3,2,3,3,1,1,3,2,2,2,4,2,4,2,2,2,2,2,1,1,2,3,3,3,2,2,3,3,2,3,2,2,2,1,1,3,2,2,2,3,4,4,1
42,100,799,1,2,4,1,1,1,15,1,2,1,1,3,2,2,2,2,5,2,5,3,5,3,2,2,4,5,3,5,4,5,4,1,5,4,4,5,5,1,2,4,4,5,5,4,2,4,5,4,5,4,4,4,5,3,5,5,3,5,5,5,2,4,2,3,4,2,4,4,1,2,2,4,2,5,1,1,1,1,1,3,2,2,3,3,2,2,2,2,3,3,3,3,1,2,1,1,2,2,1,3,4,4,4,1
43,100,4532,1,2,1,1,1,1,15,1,3,1,4,4,1,2,5,1,3,5,4,4,3,4,1,2,4,5,5,4,4,4,3,2,4,2,3,4,4,1,2,4,4,3,3,2,2,4,5,4,4,3,2,4,2,2,1,4,1,1,3,1,2,2,4,2,2,1,4,2,1,1,1,5,1,5,1,5,1,1,1,2,2,3,3,1,2,2,1,2,2,3,3,3,3,4,2,2,2,1,4,4,4,4,4,1
44,100,1369,1,1,2,1,1,1,8,2,4,3,4,4,4,3,5,3,1,4,2,2,1,1,1,1,2,3,3,2,3,5,3,1,3,1,1,1,5,4,1,3,3,3,5,3,3,3,5,5,4,2,2,3,4,2,4,3,3,4,4,1,1,1,1,1,2,1,2,2,2,3,4,2,3,5,1,2,4,2,4,3,2,1,2,3,2,1,2,3,1,2,3,4,4,3,2,1,2,2,3,3,4,4,4,1
45,100,653,1,1,2,3,4,1,43,1,3,1,3,3,1,1,4,1,4,1,4,4,4,4,4,2,4,3,3,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,2,4,3,3,3,4,3,3,4,4,3,3,3,3,4,4,3,3,4,2,2,2,4,3,4,4,4,2,4,3,2,2,2,3,3,3,2,2,2,2,2,1,3,2,3,3,3,2,2,2,2,3,3,3,2,4,4,4,4,1
46,100,270,1,1,2,1,1,1,8,1,3,2,4,5,2,1,5,3,2,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,1,NA,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1
47,100,1128,1,1,2,4,1,1,44,1,2,1,2,3,1,1,2,1,4,2,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,4,3,5,1,3,5,5,2,2,3,2,4,2,4,1,1,1,1,3,3,1,2,2,3,2,3,1,3,1,3,3,2,2,2,2,2,2,2,3,2,3,4,4,1
48,100,552,1,1,2,2,1,1,17,1,2,1,2,4,1,1,2,1,4,2,5,3,3,4,1,2,3,3,5,5,4,5,5,1,3,3,1,4,5,1,2,5,4,4,4,5,3,3,5,5,4,5,2,5,4,1,1,5,2,1,4,1,3,4,3,1,3,1,2,1,1,2,1,5,1,4,1,3,1,2,1,1,2,2,2,1,2,3,2,3,1,3,2,1,1,1,1,1,4,3,2,4,4,4,4,1
49,100,616,1,1,2,1,1,4,10,1,3,2,3,1,2,1,2,3,2,4,4,2,2,2,3,2,2,4,4,2,2,4,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,3,4,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,2,3,1,2,3,2,2,3,3,2,2,1,4,1,3,3,3,4,4,1
50,100,323,1,1,2,2,2,1,13,3,5,1,3,4,2,1,5,3,4,5,3,2,4,NA,3,1,3,4,3,2,2,3,3,4,4,4,5,4,3,3,2,4,2,4,3,2,3,3,5,4,4,3,4,4,3,4,5,5,4,4,4,5,3,2,4,3,3,3,4,3,4,4,4,2,3,4,1,3,2,2,4,1,1,1,3,3,1,1,3,2,2,3,2,3,4,4,3,3,2,3,2,3,3,4,2,1
51,100,1846,1,1,2,4,1,2,44,1,1,1,2,2,1,NA,2,1,4,4,4,3,4,3,3,2,3,4,3,3,4,4,4,3,4,4,4,4,4,3,3,4,5,4,5,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,3,2,2,2,2,4,2,4,2,2,2,2,2,3,1,1,3,3,2,3,3,3,2,2,3,2,3,3,1,2,3,2,3,3,3,4,4,1
52,100,854,1,2,1,1,1,1,16,1,4,2,5,4,3,4,5,2,2,4,1,2,2,3,1,1,1,3,3,2,1,3,2,1,1,1,2,1,3,1,1,1,1,2,3,1,1,1,4,4,4,1,3,4,2,1,2,4,1,1,4,1,2,1,4,1,1,3,1,3,2,2,2,4,2,5,1,3,3,2,2,3,1,2,3,1,2,2,3,2,3,3,3,3,3,3,3,2,2,1,4,4,4,4,4,1
53,100,953,1,2,1,2,3,2,10,1,1,1,1,1,2,1,3,1,4,3,4,1,1,1,1,1,1,2,3,3,1,2,4,1,2,2,3,1,2,1,1,4,3,3,5,5,1,2,NA,3,1,1,3,1,3,2,1,5,1,1,3,1,1,NA,2,3,2,4,2,4,1,1,1,5,1,1,1,1,1,1,1,3,1,2,3,3,2,3,3,2,3,3,1,4,3,4,1,1,3,1,1,4,4,4,4,1
54,100,339,1,1,2,2,4,1,4,1,3,2,4,4,2,2,4,2,3,2,3,2,4,2,4,2,3,3,2,2,2,2,2,2,4,2,3,1,1,2,1,3,2,3,2,3,4,4,2,2,1,1,3,2,3,2,4,2,3,3,4,4,2,1,2,2,3,3,2,4,3,4,4,4,2,2,2,3,1,3,1,2,2,1,1,3,2,1,3,2,3,3,3,3,3,2,3,3,4,4,3,3,4,4,4,1
55,100,330,1,1,2,2,1,1,10,1,2,2,3,3,1,2,2,1,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,2,5,2,5,4,1,3,3,3,4,4,3,3,3,3,3,3,4,4,1,2,1,1,2,2,1,3,2,1,3,1,2,2,2,2,1,2,2,2,1,1,2,2,1
56,100,901,1,1,2,1,1,1,8,1,3,1,3,2,4,5,5,1,2,4,3,1,1,3,1,1,1,1,2,3,4,5,4,1,1,1,1,1,1,1,1,5,3,4,4,4,1,1,5,5,5,4,2,5,4,3,1,4,1,1,3,1,1,5,1,1,2,1,1,3,3,2,3,3,3,4,2,2,2,2,3,3,2,3,3,3,1,1,1,1,3,1,3,4,4,4,1,1,3,1,4,4,4,4,3,1
57,100,764,1,2,1,1,1,1,43,1,3,2,1,3,1,1,1,1,5,2,5,3,4,3,1,2,4,5,4,4,2,4,3,2,3,3,3,4,4,3,3,5,4,4,4,4,3,4,3,4,4,2,2,2,4,4,4,5,4,4,4,4,2,4,3,2,3,1,1,2,2,2,2,2,2,4,2,2,2,2,2,1,2,2,3,2,2,1,1,2,3,3,3,3,2,2,1,4,2,2,4,4,3,4,4,1
58,100,408,1,1,2,3,4,6,3,3,5,4,4,3,3,4,4,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,3,3,3,3,1,2,3,2,1,1,3,2,1,2,2,3,3,3,3,3,NA,3,3,3,3,3,3,3,1
59,100,1103,1,1,2,3,1,1,17,1,5,2,4,3,2,1,5,1,3,2,4,2,2,4,1,3,2,3,2,5,4,4,4,1,5,4,3,4,4,3,3,2,4,4,5,4,3,4,4,5,4,3,4,5,5,4,2,5,3,1,3,2,2,2,1,2,4,3,3,2,1,2,1,3,1,4,1,1,2,1,3,3,2,1,2,3,2,3,2,2,1,3,3,2,3,2,1,1,2,1,3,2,3,4,4,1
60,100,9514,1,1,4,2,1,1,44,1,1,1,2,1,1,1,2,1,3,3,4,4,3,3,2,2,2,5,5,5,4,5,4,1,3,3,3,3,3,1,1,4,4,4,3,3,2,3,5,3,3,1,1,3,1,4,3,5,3,2,3,3,3,3,2,1,1,3,5,1,1,1,1,5,1,5,1,1,1,1,1,3,1,1,1,2,2,3,1,3,3,3,1,4,3,3,2,1,3,2,4,3,3,4,4,1
